X,Y,Distance,LRO LOLA DEM: S Pole, 87.5 deg,LRO LOLA DEM: S Pole, 75 deg,LRO LOLA DEM: S Pole, 45 deg
-39197.52395629964,-67539.69965428101,0,-3124,-1562,-1557.5
-39217.589505754164,-67359.10970919034,181.7,-3118,-1560,-1562.5
-39224.283116179664,-67178.51976409965,363.4,-3116,-1558,-1563
-39204.21756672514,-66997.92981900898,545.0999999999999,-3112,-1556,-1559.5
-39123.18307971161,-66842.10619813768,726.8,-3091,-1547,-1546
-39011.62928542399,-66698.67989119646,908.5,-3071,-1536,-1535
-38908.73470166409,-66549.20380243054,1090.1999999999998,-3054,-1527,-1530.5
-38812.43321675779,-66395.12142658046,1271.8999999999999,-3039,-1519,-1521
-38879.963935859145,-66243.4478270316,1453.6,-3032,-1516,-1514.5
-38980.75367059708,-66092.2632249247,1635.3,-3035,-1518,-1512.5
-38874.71119984465,-65976.50747585577,1817,-3005,-1502,-1499
-38729.35017718944,-65867.48670886437,1998.6999999999998,-2982,-1491,-1491
-38609.68878401192,-65730.75362939527,2180.3999999999996,-2967,-1484,-1485.5
-38492.43627745859,-65592.57558524914,2362.1,-2958,-1480,-1474.5
-38428.636699274204,-65422.44337675745,2543.7999999999997,-2929,-1463,-1468.5
-38343.57045497466,-65263.96058643363,2725.5,-2896,-1449,-1448
-38234.54968798325,-65118.59956377842,2907.2,-2889,-1445,-1444.5
-38118.83588137931,-64978.663858417814,3088.8999999999996,-2889,-1445,-1448
-37999.18475235064,-64841.91971095647,3270.6,-2880,-1440,-1436
-37917.11953973421,-64682.70670001536,3452.2999999999997,-2869,-1433,-1439
-37850.06016229776,-64514.18421962019,3634,-2862,-1430,-1429.5
-37753.75867739146,-64360.101843770106,3815.7,-2853,-1427,-1427.5
-37660.38937667189,-64204.29021124402,3997.3999999999996,-2846,-1423,-1419
-37572.14743527014,-64045.454716720866,4179.099999999999,-2838,-1420,-1416
-37483.905493868384,-63886.61922219771,4360.799999999999,-2835,-1419,-1415.5
-37395.663552466634,-63727.783727674556,4542.5,-2831,-1415,-1407.5
-37325.08033484587,-63561.180130251734,4724.2,-2835,-1419,-1422.5
-37267.621345520645,-63388.80316227605,4905.9,-2837,-1421,-1417.5
-37221.24179495558,-63213.199854119615,5087.599999999999,-2829,-1414,-1418.5
-37190.81619262777,-63035.24413860995,5269.299999999999,-2810,-1405,-1401.5
-37190.81619262777,-62853.54286029093,5451,-2795,-1398,-1392.5
-37253.70040695086,-62689.87653734062,5632.7,-2793,-1396,-1395
-37350.001891857166,-62535.794161490536,5814.4,-2801,-1402,-1401
-37432.517006246606,-62373.97991180895,5996.099999999999,-2806,-1404,-1406.5
-37526.53457003793,-62220.65699708569,6177.799999999999,-2830,-1415,-1421
-37655.01677608758,-62092.17479103604,6359.5,-2838,-1419,-1411.5
-37789.19617147173,-61971.24551971275,6541.2,-2825,-1410,-1406.5
-37948.03166599489,-61883.003578311,6722.9,-2831,-1413,-1409.5
-38104.62839678186,-61791.08996788531,6904.599999999999,-2822,-1411,-1408
-38255.81299888876,-61690.300233147376,7086.299999999999,-2813,-1408,-1400
-38410.416269011555,-61595.40147766138,7268,-2808,-1405,-1401
-38572.93483297953,-61514.14219567739,7449.7,-2809,-1404,-1409
-38728.02637550057,-61420.08482126555,7631.4,-2803,-1404,-1407
-38879.21097760747,-61319.295086527614,7813.099999999999,-2774,-1385,-1391
-39049.73585539713,-61270.48884072195,7994.799999999999,-2774,-1388,-1384.5
-39226.82812634075,-61237.36324308858,8176.499999999999,-2765,-1384,-1384.5
-39389.346690308725,-61156.10396110459,8358.199999999999,-2742,-1371,-1373
-39542.70361816494,-61060.02084049922,8539.9,-2721,-1361,-1359
-39688.06464082015,-60951.000073507814,8721.599999999999,-2704,-1352,-1350
-39833.42566347537,-60841.9793065164,8903.3,-2693,-1347,-1348.5
-39978.78668613058,-60732.95853952499,9085,-2694,-1348,-1349
-40075.44568565553,-60581.463734799785,9266.699999999999,-2666,-1333,-1329
-40163.68762705729,-60422.62824027663,9448.4,-2642,-1322,-1323.5
-40167.43270874105,-60241.897410099606,9630.099999999999,-2609,-1306,-1305.5
-40167.43270874105,-60060.19613178058,9811.8,-2577,-1289,-1285.5
-40167.43270874105,-59878.49485346156,9993.5,-2537,-1267,-1263.5
-40134.778965577585,-59700.37804930325,10175.199999999999,-2493,-1249,-1252.5
-40094.75100497077,-59523.14794906318,10356.9,-2471,-1237,-1233
-40050.68197186376,-59346.87181663517,10538.599999999999,-2442,-1222,-1223
-39974.56489167199,-59184.213014646295,10720.3,-2412,-1207,-1201.5
-39878.26340676568,-59030.13063879621,10902,-2374,-1186,-1188
-39740.62943047087,-58913.34945911601,11083.699999999999,-2339,-1168,-1174.5
-39597.20312352964,-58801.79566482839,11265.4,-2299,-1150,-1153.5
-39431.24151592077,-58732.34946500759,11447.099999999999,-2266,-1133,-1134.5
-39258.609525640655,-58676.01477854923,11628.8,-2236,-1116,-1114
-39078.3113669941,-58653.47750871841,11810.5,-2218,-1111,-1107
-38897.24401408845,-58643.2952353357,11992.199999999999,-2192,-1094,-1092.5
-38715.54273576943,-58643.2952353357,12173.9,-2169,-1084,-1085
-38533.841457450406,-58643.2952353357,12355.599999999999,-2154,-1076,-1078
-38352.72818639517,-58652.73995956448,12537.3,-2161,-1081,-1079
-38172.43002774862,-58675.2772293953,12719,-2201,-1099,-1101
-37990.81984094101,-58676.740364730234,12900.699999999999,-2245,-1121,-1129.5
-37810.323502565436,-58665.763636296244,13082.4,-2319,-1158,-1149
